Id,Year,SECTION_ID,Baujahr,GEOPOINT_ID,Haltungslaenge,Mittlere_Tiefe,Kanalart,Wasserschutzzone,Lage_im_Verkehrsraum,Grundwasserstand,Materialart,Materialgruppe,Cluster_Name,Profilart,Profilbreite,Profilhoehe,Erneuerung,SUBS_CLASS,PRIO_CLASS,SUBSTANZ,Prioritaet,ENTSCHEIDUNG_KUBUS_C,ENTSCHEIDUNG_STRATEGIE,Ausgabe,RAD,RBW_AHK,Lat1,Lat2,Long1,Long2
344851,2016,14350,1973,83281,31.577,3.62,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,31120.71,3.08244703585,5.06,47.53,100.0,3,1,0.0,24,0.0,50.5355234081,50.5356372037,9.7157118944,9.71531922761
344876,2016,14351,1973,83283,40.032,3.26,K,KW,B5,2,SLB,Beton,Beton,DN,300,300,39453.54,3.27502135029,4.62,41.75,91.86,3,1,0.0,24,0.0,50.5356886979,50.5358196751,9.71494170378,9.7144306616
344901,2016,14352,1973,83285,26.373,3.46,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,25991.91,2.38754739045,5.06,63.28,100.0,2,2,0.0,24,0.0,50.5356400736,50.5356860969,9.71530587966,9.71495521105
344926,2016,14353,1972,83287,17.834,3.48,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,17576.3,3.44924375342,4.87,36.52,96.74,3,1,0.0,23,0.0,50.5360864421,50.5362377044,9.71609139659,9.71608211561
344951,2016,14354,1972,83289,30.005,3.38,K,KW,B5,1,B,Beton,Beton,DN,300,300,29571.43,3.60532196137,5.06,31.84,100.0,3,1,0.0,23,0.0,50.5362466917,50.5365031613,9.71608309835,9.71615667702
344976,2016,14355,1972,83291,28.914,3.46,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,28496.19,2.75410722978,4.87,54.92,96.74,2,2,0.0,23,0.0,50.5359509163,50.5360796587,9.71643577241,9.7160976439
345001,2016,14356,2000,83293,44.374,3.83,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,600,600,76136.91,0.395547611103,0.53,96.04,10.37,0,1,0.0,51,0.0,50.5350968012,50.5347579854,9.71697610733,9.71667079331
345026,2016,14357,2000,83295,44.298,3.64,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,500,500,68976.42,0.395547611103,0.53,96.04,10.37,0,1,0.0,51,0.0,50.5354214673,50.5351029765,9.71733143205,9.71698099864
345051,2016,14358,2000,83297,63.407,3.28,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,500,500,98731.04,0.395547611103,0.53,96.04,10.37,0,1,0.0,51,0.0,50.5351044452,50.5354232279,9.71806929258,9.71734782746
345076,2016,14359,1970,83299,13.543,4.2,K,KW,B5,1,B,Beton,Beton,DN,300,300,15294.11,2.7000353099,5.06,56.0,100.0,2,2,0.0,21,0.0,50.5363972065,50.5365000401,9.71499685011,9.71492448986
